dataset,prec_50,rec_50,f1_50,prec_60,rec_60,f1_60,prec_70,rec_70,f1_70,prec_80,rec_80,f1_80,prec_90,rec_90,f1_90,prec_100,rec_100,f1_100
SEIR015_sl1000_mr025_nv10_10,0.8,0.364,0.5,0.8,0.364,0.5,0.8,0.364,0.5,0.75,0.273,0.4,0.75,0.273,0.4,0.75,0.273,0.4
SEIR015_sl1000_mr025_nv10_11,0.82,0.732,0.774,0.851,0.714,0.777,0.886,0.554,0.681,0.897,0.464,0.612,0.897,0.464,0.612,0.897,0.464,0.612
SEIR015_sl1000_mr025_nv10_12,0.778,0.7,0.737,0.875,0.7,0.778,0.833,0.5,0.625,0.833,0.5,0.625,0.833,0.5,0.625,0.833,0.5,0.625
SEIR015_sl1000_mr025_nv10_13,0.333,0.4,0.364,0.333,0.3,0.316,0.667,0.2,0.308,0.667,0.2,0.308,1,0.2,0.333,1,0.2,0.333
SEIR015_sl1000_mr025_nv10_14,0.731,0.76,0.745,0.76,0.76,0.76,0.722,0.52,0.605,0.833,0.4,0.541,0.833,0.4,0.541,0.833,0.4,0.541
SEIR015_sl1000_mr025_nv10_15,0.489,0.397,0.438,0.538,0.362,0.433,0.559,0.328,0.413,0.533,0.276,0.364,0.593,0.276,0.376,0.667,0.276,0.39
SEIR015_sl1000_mr025_nv10_16,0.688,0.786,0.733,0.667,0.714,0.69,0.667,0.714,0.69,0.667,0.714,0.69,0.667,0.714,0.69,0.667,0.714,0.69
SEIR015_sl1000_mr025_nv10_17,0.812,0.684,0.743,0.806,0.658,0.725,0.792,0.5,0.613,0.8,0.421,0.552,0.789,0.395,0.526,0.789,0.395,0.526
SEIR015_sl1000_mr025_nv10_18,0.771,0.73,0.75,0.8,0.649,0.716,0.875,0.568,0.689,0.944,0.459,0.618,0.944,0.459,0.618,0.944,0.459,0.618
SEIR015_sl1000_mr025_nv10_19,0.778,0.737,0.757,0.778,0.737,0.757,0.75,0.632,0.686,0.692,0.474,0.562,0.667,0.421,0.516,0.667,0.421,0.516
SEIR015_sl1000_mr025_nv10_2,0.829,0.607,0.701,0.816,0.554,0.66,0.767,0.411,0.535,0.76,0.339,0.469,0.792,0.339,0.475,0.826,0.339,0.481
SEIR015_sl1000_mr025_nv10_20,0.714,0.625,0.667,0.714,0.625,0.667,0.714,0.625,0.667,0.667,0.5,0.571,0.8,0.5,0.615,0.8,0.5,0.615
SEIR015_sl1000_mr025_nv10_3,0.886,0.848,0.867,0.884,0.826,0.854,0.917,0.717,0.805,0.969,0.674,0.795,0.968,0.652,0.779,0.968,0.652,0.779
SEIR015_sl1000_mr025_nv10_4,0.821,0.727,0.771,0.857,0.682,0.759,0.828,0.545,0.658,0.8,0.455,0.58,0.8,0.455,0.58,0.833,0.455,0.588
SEIR015_sl1000_mr025_nv10_5,0.907,0.812,0.857,0.927,0.792,0.854,0.971,0.688,0.805,0.964,0.562,0.711,0.96,0.5,0.658,0.958,0.479,0.639
SEIR015_sl1000_mr025_nv10_6,0.947,0.783,0.857,0.946,0.761,0.843,0.931,0.587,0.72,0.955,0.457,0.618,0.955,0.457,0.618,0.955,0.457,0.618
