dataset,prec_50,rec_50,f1_50,prec_60,rec_60,f1_60,prec_70,rec_70,f1_70,prec_80,rec_80,f1_80,prec_90,rec_90,f1_90,prec_100,rec_100,f1_100
SEIR015_sl1000_mr025_nv20_6,0.696,0.842,0.762,0.711,0.842,0.771,0.721,0.816,0.765,0.732,0.789,0.759,0.718,0.737,0.727,0.718,0.737,0.727
SEIR015_sl1000_mr025_nv20_7,0.917,0.917,0.917,0.914,0.889,0.901,0.938,0.833,0.882,0.968,0.833,0.896,1,0.778,0.875,1,0.778,0.875
SEIR015_sl1000_mr025_nv20_8,0.627,0.776,0.693,0.641,0.746,0.69,0.681,0.731,0.705,0.758,0.701,0.729,0.77,0.701,0.734,0.797,0.701,0.746
SEIR015_sl1000_mr025_nv20_9,0.611,0.611,0.611,0.611,0.611,0.611,0.533,0.444,0.485,0.615,0.444,0.516,0.875,0.389,0.538,0.875,0.389,0.538
SEIR015_sl1000_mr025_nv5_1,0.615,0.571,0.593,0.8,0.571,0.667,0.875,0.5,0.636,0.875,0.5,0.636,0.875,0.5,0.636,0.875,0.5,0.636
SEIR015_sl1000_mr025_nv5_10,0.737,0.778,0.757,0.757,0.778,0.767,0.75,0.75,0.75,0.743,0.722,0.732,0.743,0.722,0.732,0.758,0.694,0.725
SEIR015_sl1000_mr025_nv5_11,0.636,0.596,0.615,0.641,0.532,0.581,0.667,0.511,0.578,0.667,0.511,0.578,0.667,0.511,0.578,0.676,0.489,0.568
SEIR015_sl1000_mr025_nv5_12,0.375,0.273,0.316,0.429,0.273,0.333,0.429,0.273,0.333,0.429,0.273,0.333,0.429,0.273,0.333,0.429,0.273,0.333
SEIR015_sl1000_mr025_nv5_13,0.964,0.871,0.915,0.96,0.774,0.857,0.957,0.71,0.815,0.957,0.71,0.815,1,0.71,0.83,1,0.71,0.83
SEIR015_sl1000_mr025_nv5_14,0.611,0.733,0.667,0.611,0.733,0.667,0.714,0.667,0.69,0.692,0.6,0.643,0.692,0.6,0.643,0.692,0.6,0.643
SEIR015_sl1000_mr025_nv5_15,0.703,0.692,0.698,0.714,0.692,0.703,0.754,0.662,0.705,0.759,0.631,0.689,0.78,0.6,0.678,0.796,0.6,0.684
SEIR015_sl1000_mr025_nv5_16,0.95,0.731,0.826,0.95,0.731,0.826,0.95,0.731,0.826,1,0.731,0.844,1,0.731,0.844,1,0.731,0.844
SEIR015_sl1000_mr025_nv5_17,0.905,0.927,0.916,0.905,0.927,0.916,0.889,0.78,0.831,0.882,0.732,0.8,0.882,0.732,0.8,0.882,0.732,0.8
SEIR015_sl1000_mr025_nv5_18,0.708,0.618,0.66,0.739,0.618,0.673,0.81,0.618,0.701,0.842,0.582,0.688,0.842,0.582,0.688,0.865,0.582,0.696
SEIR015_sl1000_mr025_nv5_19,0.389,0.636,0.483,0.438,0.636,0.519,0.5,0.545,0.522,0.5,0.545,0.522,0.5,0.545,0.522,0.5,0.545,0.522
SEIR015_sl1000_mr025_nv5_2,1,0.889,0.941,1,0.889,0.941,1,0.889,0.941,1,0.667,0.8,1,0.667,0.8,1,0.667,0.8
SEIR015_sl1000_mr025_nv5_20,0.61,0.61,0.61,0.676,0.61,0.641,0.694,0.61,0.649,0.677,0.512,0.583,0.677,0.512,0.583,0.679,0.463,0.551
SEIR015_sl1000_mr025_nv5_3,0.682,0.556,0.612,0.682,0.556,0.612,0.789,0.556,0.652,0.778,0.519,0.622,0.824,0.519,0.636,0.875,0.519,0.651
SEIR015_sl1000_mr025_nv5_4,0.689,0.62,0.653,0.721,0.62,0.667,0.732,0.6,0.659,0.718,0.56,0.629,0.718,0.56,0.629,0.718,0.56,0.629
SEIR015_sl1000_mr025_nv5_5,0.706,0.571,0.632,0.706,0.571,0.632,0.688,0.524,0.595,0.667,0.381,0.485,0.667,0.381,0.485,0.667,0.381,0.485
SEIR015_sl1000_mr025_nv5_6,0.604,0.516,0.557,0.612,0.484,0.541,0.625,0.484,0.545,0.619,0.419,0.5,0.703,0.419,0.525,0.703,0.419,0.525
SEIR015_sl1000_mr025_nv5_7,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.833,0.769,0.8,0.8,0.615,0.696,0.8,0.615,0.696
SEIR015_sl1000_mr025_nv5_8,0.783,0.783,0.783,0.762,0.696,0.727,0.8,0.696,0.744,0.765,0.565,0.65,0.765,0.565,0.65,0.765,0.565,0.65
SEIR015_sl1000_mr025_nv5_9,0.632,0.6,0.615,0.667,0.55,0.603,0.688,0.55,0.611,0.677,0.525,0.592,0.677,0.525,0.592,0.7,0.525,0.6
SEIR015_sl1000_mr05_nv10_1,0.75,0.882,0.811,0.722,0.765,0.743,0.722,0.765,0.743,0.688,0.647,0.667,0.667,0.588,0.625,0.667,0.588,0.625
SEIR015_sl1000_mr05_nv10_10,0.8,0.889,0.842,0.8,0.889,0.842,0.8,0.889,0.842,0.8,0.889,0.842,0.8,0.889,0.842,0.8,0.889,0.842
SEIR015_sl1000_mr05_nv10_11,0.333,0.375,0.353,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.429,0.375,0.4
SEIR015_sl1000_mr05_nv10_12,0.727,1,0.842,0.727,1,0.842,0.727,1,0.842,0.727,1,0.842,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_13,0.918,0.918,0.918,0.945,0.852,0.897,0.944,0.836,0.887,0.941,0.787,0.857,0.941,0.787,0.857,0.941,0.787,0.857
SEIR015_sl1000_mr05_nv10_14,0.74,0.804,0.771,0.755,0.804,0.779,0.778,0.761,0.769,0.8,0.696,0.744,0.8,0.609,0.691,0.828,0.522,0.64
SEIR015_sl1000_mr05_nv10_15,0.75,0.818,0.783,0.7,0.636,0.667,0.7,0.636,0.667,0.625,0.455,0.526,0.625,0.455,0.526,0.625,0.455,0.526
